period,target,price,margem,prediction
2022-01-31,4.0,72.102,0.6225799290580378,
2022-02-28,188.0,80.59411845730028,0.6224972274262762,
2022-03-31,1757.0,88.06967343666024,0.6296832936306994,
2022-04-30,3427.0,88.17374438950839,-1.6131452338994332,
2022-05-31,4564.0,94.80498582909512,0.17544236589568274,
2022-06-30,4142.0,91.4621845701558,0.6283435715474462,
2022-07-31,1602.0,87.12853699588624,0.627464267738318,
2022-08-31,1231.0,86.81056304119785,0.6281472885224565,
2022-09-30,292.0,85.58248493091942,0.6272559505377392,
2022-10-31,127.0,87.32943165168166,0.6275628816326795,
2022-11-30,46.0,80.0147549019608,0.6083227688888144,
2022-12-31,20.0,80.66866666666667,0.6257550700429052,
2023-01-31,3.0,99.90000000000002,0.626979392420521,
2023-02-28,186.0,89.62394526143791,0.6237295272362509,
2023-03-31,600.0,94.51376929243493,0.6306410002820729,
2023-04-30,2368.0,93.41020511592286,-0.14885775736756932,
2023-05-31,2583.0,95.78520294929162,-0.16518918438076308,
2023-06-30,3043.0,95.86768168549487,0.6372790135030866,
2023-07-31,2082.0,97.81721452621154,0.6330586382336536,
2023-08-31,1399.0,96.11306081966225,-0.5186509983319239,
2023-09-30,576.0,98.54757017100437,0.6386091053305678,
2023-10-31,264.0,99.344816511244,0.6388040265775373,
2023-11-30,78.0,98.45524333333334,0.6321726944740172,
2023-12-31,32.0,98.45833333333333,0.6439012125622603,
2024-01-31,44.0,103.98761363636363,0.6409168418718312,
2024-02-29,135.0,99.08108350586613,0.6267003167462001,
2024-03-31,646.0,104.28536446872198,-0.09949057765327325,
2024-04-30,1667.0,100.17690000217631,0.15107818117438113,
2024-05-31,4604.0,99.41100145648203,0.300190340054092,
2024-06-30,3260.0,96.59714567718088,0.43831046682284797,
2024-07-31,3518.0,89.32545056671849,-1.5400308850091917,
2024-08-31,1394.0,84.8325389360445,0.048916898354645195,
2024-09-30,182.0,85.87180945597612,0.5600022962635061,
2024-10-31,78.0,79.88250714285715,0.42887040796463405,
2024-11-30,21.0,86.28180555555555,0.5892948968227009,
2024-12-31,31.0,87.03750000000001,0.48097075851250604,
2025-01-31,25.0,74.37138888888889,0.3702212601438208,
2025-02-28,36.0,85.594625,0.5349969035291237,1690.9358
2025-03-31,685.0,91.3565121960369,0.5397177441437938,1687.8474
2025-04-30,2729.0,94.8388639451945,0.6046172101178595,1786.0929
2025-05-31,2898.0,94.94837413822512,0.5546819436606371,1873.1072
2025-06-30,231.0,109.75563125521268,0.6266262359494756,2092.6902
